Unnamed: 0,INCIDENT_ID,DATA_YEAR,PUB_AGENCY_NAME,STATE_ABBR,STATE_NAME,POPULATION_GROUP_DESC,INCIDENT_DATE,TOTAL_OFFENDER_COUNT,OFFENDER_RACE,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,SEVERITY
38117,36747,1996,31,NC,North Carolina,"MSA counties from 25,000 thru 99,999",19-OCT-96,0,4,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,6,15,0
38118,36748,1996,31,NC,North Carolina,"MSA counties from 25,000 thru 99,999",30-DEC-96,0,4,1,Destruction/Damage/Vandalism of Property,0.0,School/College,6,16,0
38119,36749,1996,31,NC,North Carolina,"MSA counties from 25,000 thru 99,999",28-DEC-96,3,5,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,6,15,0
38120,36750,1996,65,NC,North Carolina,"MSA counties from 25,000 thru 99,999",31-MAR-96,0,4,2,Destruction/Damage/Vandalism of Property,2.0,Residence/Home,26,7,0
38121,36751,1996,65,NC,North Carolina,"MSA counties from 25,000 thru 99,999",05-APR-96,1,5,2,Aggravated Assault;Intimidation,2.0,Residence/Home,6,7,1
38122,36752,1996,82,NC,North Carolina,"MSA counties 100,000 or over",09-MAR-96,0,4,1,Destruction/Damage/Vandalism of Property,0.0,School/College,6,5,0
38123,36753,1996,239,NC,North Carolina,"Cities from 100,000 thru 249,999",12-JUL-96,0,4,1,Intimidation,1.0,Parking/Drop Lot/Garage,6,7,1
38124,36754,1996,239,NC,North Carolina,"Cities from 100,000 thru 249,999",30-OCT-96,0,4,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,6,7,0
38125,36755,1996,85,NC,North Carolina,"MSA counties from 25,000 thru 99,999",21-APR-96,2,5,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Residence/Home,6,7,1
38126,36756,1996,85,NC,North Carolina,"MSA counties from 25,000 thru 99,999",27-JUN-96,1,5,1,Intimidation,1.0,Residence/Home,6,7,1
38127,36757,1996,85,NC,North Carolina,"MSA counties from 25,000 thru 99,999",12-JUL-96,0,4,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,6,15,0
38128,36758,1996,85,NC,North Carolina,"MSA counties from 25,000 thru 99,999",09-NOV-96,0,4,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Church/Synagogue/Temple/Mosque,6,10,1
